date,race,first_dose,second_dose,third_dose,fourth_dose,total_deaths,total_vax
2022-12-31,asian,25,19,35,179,487,258
2022-12-31,other,21,5,25,72,1231,123
2022-12-31,white,58,31,71,406,8734,566
2023-01-01,african_american,6,8,10,34,NA,58
2023-01-01,asian,4,2,14,27,NA,47
2023-01-01,other,5,0,3,13,NA,21
2023-01-01,white,12,6,15,81,NA,114
2023-01-02,african_american,65,46,106,279,NA,496
2023-01-02,asian,28,12,63,207,NA,310
2023-01-02,other,22,10,35,85,NA,152
2023-01-02,white,94,89,194,680,NA,1057
2023-01-03,african_american,147,122,304,714,NA,1287
2023-01-03,asian,100,43,102,342,NA,587
2023-01-03,other,62,29,75,125,NA,291
2023-01-03,white,187,193,391,1199,NA,1970
2023-01-04,african_american,158,99,326,674,5217,1257
2023-01-04,asian,86,34,77,278,488,475
2023-01-04,other,55,35,72,150,1233,312
2023-01-04,white,205,166,395,1092,8760,1858
2023-01-05,african_american,181,120,267,667,5218,1235
2023-01-05,asian,91,35,81,250,489,457
2023-01-05,other,76,32,73,135,1235,316
2023-01-05,white,210,148,419,1085,8770,1862
2023-01-06,african_american,175,108,334,736,5221,1353
2023-01-06,asian,79,55,99,377,489,610
2023-01-06,other,60,41,95,166,1235,362
2023-01-06,white,209,204,445,1339,8782,2197
2023-01-07,african_american,51,52,130,344,5223,577
2023-01-07,asian,52,42,89,250,491,433
2023-01-07,other,36,14,56,123,1235,229
2023-01-07,white,94,100,295,767,8787,1256
2023-01-08,african_american,31,32,63,170,NA,296
2023-01-08,asian,37,12,53,143,NA,245
2023-01-08,other,28,9,19,64,NA,120
2023-01-08,white,46,46,141,490,NA,723
2023-01-09,african_american,152,118,278,659,NA,1207
2023-01-09,asian,59,30,77,269,NA,435
2023-01-09,other,54,37,90,144,NA,325
2023-01-09,white,178,127,320,1035,NA,1660
2023-01-10,african_american,179,95,266,597,5227,1137
2023-01-10,asian,72,39,89,233,492,433
2023-01-10,other,64,28,78,120,1236,290
2023-01-10,white,165,144,385,1101,8807,1795
2023-01-11,african_american,160,123,296,627,5230,1206
